------------------------------------------------------------------------------------------------------------------------------------
                                           "UNIVERSIDAD TÉCNICA PARTICULAR DE LOJA"
                                                TITULACIÓN DE INGENIRÍA CIVIL
                                        LABORATORIO VIRTUAL DE INGENIERÍA SÍSMICA (VLEE)

LABORATORIO: Dinámica de estructuras
EXPERMIENTO: Espectro de diseño
CARACTERÍSTICA DEL EXPERIMENTO:
Obtiene el espectro de diseño basado en el criterio del promedio de "n" espectros de respuesta
HORA-FECHA:
04-Aug-2016 16:15:37
-------------------------------------------------------------------------------------------------------------------------------------
DATOS DE SALIDA:
ESPECTRO DE PseudoDesplazamiento
9.8991 7.2477 5.6676 10.0279 8.2105 3.6291
10.0283 7.3146 5.6493 9.9138 8.2265 3.6391
10.1414 7.3688 5.6259 9.7721 8.2271 3.6491
10.2360 7.4202 5.5969 9.6041 8.2143 3.6591
10.3097 7.4879 5.5627 9.4162 8.1941 3.6692
10.3605 7.5449 5.5235 9.2143 8.1608 3.6792
10.3871 7.5924 5.4794 9.0015 8.1151 3.6892
10.3895 7.6341 5.4305 8.7816 8.0589 3.6992
10.3674 7.6673 5.3773 8.5600 7.9930 3.7093
10.3200 7.6907 5.3194 8.3426 7.9182 3.7193
10.2465 7.7036 5.2581 8.2255 7.8584 3.7293
10.1473 7.7063 5.1927 8.2838 7.8325 3.7393
10.0232 7.7014 5.1237 8.3357 7.7960 3.7494
9.8757 7.6904 5.0517 8.3813 7.7498 3.7594
9.7084 7.6726 5.0073 8.4207 7.7022 3.7694
9.5246 7.6526 4.9768 8.4541 7.6521 3.7794
9.4194 7.7514 4.9496 8.4819 7.6506 3.7895
9.2993 7.8908 4.9254 8.5229 7.6596 3.7995
9.1548 8.0126 4.8989 8.5926 7.6647 3.8095
8.9907 8.1179 4.8703 8.6563 7.6588 3.8195
8.8102 8.2086 4.8393 8.7142 7.6431 3.8296
8.6120 8.2881 4.8062 8.7662 7.6181 3.8396
8.3947 8.3571 4.7707 8.8127 7.5838 3.8496
8.1585 8.4117 4.7335 8.8540 7.5394 3.8596
7.9055 8.4563 4.7053 8.8901 7.4893 3.8697
7.6390 8.4922 4.6812 8.9217 7.4335 3.8797
7.5774 8.5135 4.6550 9.1038 7.4624 3.8897
7.5698 8.5186 4.6269 9.3651 7.5201 3.8997
7.5528 8.5082 4.5967 9.6219 7.5699 3.9098
7.5245 8.5100 4.5648 9.8718 7.6178 3.9198
7.4844 8.5102 4.5312 10.1176 7.6609 3.9298
7.4324 8.5091 4.4960 10.3630 7.7001 3.9398
7.3703 8.5072 4.4595 10.5954 7.7331 3.9499
7.2986 8.5003 4.4215 10.8071 7.7569 3.9599
7.2166 8.4825 4.3824 10.9975 7.7697 3.9699
7.1264 8.4511 4.3421 11.1654 7.7713 3.9799
7.0516 8.4084 4.3009 11.3039 7.7662 3.9900
6.9854 8.3575 4.2588 11.4197 7.7554 4.0000
